RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,Card Type,Point Earned,Password
1,15647311,Hill,608,Female,41,1,83807.86,1,DIAMOND,456,Hill5688
2,15619304,Onio,502,Female,42,8,159660.8,3,DIAMOND,377,Onio6579
3,15737888,Mitchell,850,Female,43,2,125510.82,1,GOLD,425,Mitchell5342
4,15574012,Jagdale,645,Male,18,8,1200002.5,2,DIAMOND,484,Jagdale4530
5,15656148,Pawar,376,Female,19,4,515.06,4,DIAMOND,282,Pawar7271
6,15792365,He,501,Male,44,4,142051.07,2,GOLD,251,He1186
7,15592389,H?,684,Male,27,2,134603.88,1,GOLD,342,H?7353
8,15767821,Bearce,528,Male,31,6,102016.72,2,GOLD,264,Bearce5922
9,15643966,Goforth,616,Male,45,3,143129.41,2,GOLD,308,Goforth1258
10,15737452,Romeo,653,Male,58,1,132602.88,1,SILVER,163,Romeo7520
11,15736816,Patil,756,Male,25,2,50002.8,1,DIAMOND,236,Patil4990
12,15728693,McWilliams,574,Female,43,3,141349.43,1,DIAMOND,499,McWilliams9534
13,15656300,Lucciano,411,Male,29,0,59697.17,2,GOLD,343,Lucciano5921
14,15706552,Deshmukh,533,Male,20,7,675000.5,1,SILVER,628,Deshmukh4405
15,15750181,Sanderson,553,Male,41,9,110112.54,2,GOLD,611,Sanderson9265
16,15794171,Lombardo,475,Female,45,0,134264.04,1,DIAMOND,877,Lombardo9352
17,15788448,Watson,490,Male,31,3,145260.23,1,SILVER,471,Watson8530
18,15729599,Lorenzo,804,Male,33,7,76548.6,1,GOLD,994,Lorenzo8258
19,15585768,Cameron,582,Male,41,6,70349.48,2,GOLD,419,Cameron8705
20,15738148,Kadam,465,Female,22,8,100000.0,1,SILVER,828,Kadam9283
21,15687946,Osborne,556,Female,61,2,117419.35,1,PLATINUM,789,Osborne2087
22,15755196,Lavine,834,Female,49,2,131394.56,1,GOLD,567,Lavine3737
23,15684171,Bianchi,660,Female,61,5,155931.11,1,PLATINUM,884,Bianchi7917
24,15754849,Tyler,776,Female,32,4,670.0,2,SILVER,296,Tyler9763
25,15602280,Martin,829,Female,27,9,112045.67,1,DIAMOND,779,Martin3788
26,15771573,Okagbue,637,Female,39,9,137843.8,1,SILVER,730,Okagbue6351
27,15766205,Yin,550,Male,38,2,103391.38,1,DIAMOND,960,Yin7730
28,15771873,Buccho,776,Female,37,2,103769.22,2,SILVER,268,Buccho1876
29,15616550,Chidiebele,698,Male,44,10,116363.37,2,SILVER,829,Chidiebele3294
30,15768193,Trevisani,585,Male,36,5,146050.97,2,SILVER,665,Trevisani1047
31,15702298,Parkhill,655,Male,41,8,125561.97,1,SILVER,343,Parkhill1053
32,15569590,Yoo,601,Male,42,1,98495.72,1,DIAMOND,225,Yoo1766
33,15760861,Phillipps,619,Male,43,1,125211.92,1,SILVER,657,Phillipps3679
34,15630053,Tsao,656,Male,45,5,127864.4,1,PLATINUM,221,Tsao7896
35,15647091,Endrizzi,725,Male,19,0,75888.2,1,PLATINUM,406,Endrizzi8287
36,15804771,Velazquez,614,Male,51,4,40685.92,1,PLATINUM,954,Velazquez8121
37,15651280,Hunter,742,Male,35,5,136857.0,1,GOLD,823,Hunter5929
38,15773469,Clark,687,Female,27,9,152328.88,2,DIAMOND,769,Clark9205
39,15702014,Jeffrey,555,Male,33,1,56084.69,2,PLATINUM,481,Jeffrey7500
40,15751208,Pirozzi,684,Male,56,8,78707.16,1,SILVER,903,Pirozzi8390
41,15592461,Jackson,603,Male,26,4,109166.37,1,PLATINUM,882,Jackson8231
42,15789484,Hammond,751,Female,36,6,169831.46,2,GOLD,379,Hammond1055
43,15696061,Brownless,581,Female,34,1,900.0,1,PLATINUM,469,Brownless2951
44,15641582,Chibugo,735,Male,43,10,123180.01,2,PLATINUM,683,Chibugo1515
45,15638424,Glauert,661,Female,35,5,150725.53,2,GOLD,770,Glauert7823
46,15755648,Pisano,675,Female,21,8,98373.26,1,SILVER,985,Pisano6893
47,15703793,Konovalova,738,Male,58,2,133745.44,4,GOLD,725,Konovalova7469
48,15812518,Palermo,657,Female,37,0,163607.18,1,GOLD,979,Palermo7679
49,15779052,Ballard,604,Female,25,5,157780.84,2,SILVER,988,Ballard1235
50,15780961,Cavenagh,735,Female,21,1,178718.19,2,PLATINUM,527,Cavenagh1628
51,15575185,Bushell,757,Male,33,5,77253.22,1,SILVER,582,Bushell3744
52,15803136,Postle,416,Female,41,10,122189.66,2,SILVER,281,Postle1178
53,15706021,Buley,665,Female,34,1,96645.54,2,DIAMOND,798,Buley2690
54,15701164,Onyeorulu,506,Female,34,4,700.0,1,SILVER,511,Onyeorulu5962
55,15762418,Gant,750,Male,22,3,121681.82,1,SILVER,852,Gant4089
56,15767954,Osborne,635,Female,28,3,81623.67,2,DIAMOND,659,Osborne2007
57,15731511,Ritchie,808,Male,45,7,118626.55,2,SILVER,559,Ritchie5556
58,15699461,Fiorentini,515,Male,35,10,176273.95,1,GOLD,231,Fiorentini8545
59,15738721,Graham,773,Male,41,9,102827.44,1,DIAMOND,488,Graham5449
60,15693683,Yuille,814,Male,29,8,97086.4,2,GOLD,965,Yuille3142
